MD01-01003;SUTRA CLASSIC 50X24X3S;SUTRA;1200;4646
MD01-01012;SUTRA CLASSIC 24X12X12S;SUTRA;288;16407
MD01-02003;SUTRA OK 50X24X3S;SUTRA;1200;6758
MD01-02012;SUTRA OK 24X12X12S;SUTRA;288;23945
MD01-07003;SUTRA GERIGI 50X24X3S;SUTRA;1200;6758
MD01-08003;SUTRA PLUS 40X24X3S;SUTRA;960;6758
MD02-02003;FIESTA STRAWBERRY 40X24X3S;FIESTA;960;9649
MD02-02012;FIESTA STRAWBERRY 20X12X12S;FIESTA;240;32747
MD02-07003;FIESTA ULTRA SAFE 40X24X3S;FIESTA;960;9894
MD02-14003;FIESTA MAX DOTTED 40X24X3S;FIESTA;960;9894
MD06-01050;PREGNANCY TEST KIT (PTK) 50X50S;HEALTH SUPLEMENT;2500;3366
MD08-07001;SUTRA LUBRICANT 12X12X50ML;SUTRA;144;11220
PC15-01001;ANDALAN FRESH WASH 12X6X60ML;ANDALAN;72;13260
PC15-04010;ANDALAN INTIMATE CLEANSING WIPES 6X12PCS;ANDALAN;72;6120
TM14-01002;SUTRA PERKASA 20X12X2S;HEALTH SUPLEMENT;240;10404
S2S01;MATTE LIP CREAM 72 X 01 RUBY BERRY;MAKE UP;72;22727
S2S02;MATTE LIP CREAM 72 X 02 PINK ORCHID;MAKE UP;72;22727
S2S03;MATTE LIP CREAM 72 X 03 CORAL DAISY;MAKE UP;72;22727
S2S04;MATTE LIP CREAM 72 X 04 SUGAR HONEY;MAKE UP;72;22727
S2S05;VOLUMIZING MASCARA 72 X 01 JET BLACK;MAKE UP;72;22727
S2S06;DAILY BB CREAM 72 X 01 NATURAL ;MAKE UP;72;22727
S2S07;LONG WEAR CREAMY EYSHDW 72X02 CHO BLEND;MAKE UP;72;22727
S2S08;LONG WEAR CREAMY EYSHDW 72X05 CHRY SHMER;MAKE UP;72;22727
HP24454;HYPER NAPKIN LUNCHEON 12X400GR;HYPER;12;7727
HP34030;HYPER NAPKIN LUNCHEON 6X900GR;HYPER;6;15273
IDM20551;INDOMARET FACIAL SOFT PACK 30X220'S;INDOMARET;30;7651
IDM70792;INDOMARET FACIAL KILOAN 20 X 900 GR;INDOMARET;20;25794
IDM70822;INDOMARET FACIAL KILOAN 32X400GR;INDOMARET;32;11419
JL14335;JOLLY TOILET CORE EMBOSS 10 X (10 X 50GR;MT;10;23920
JL14953;JOLLY TOILET CORELESS DOT EMB 24X10X30GR;JOLLY;24;9409
JL54010;JOLLY TOILET CORE 10 ROLL NON EMB 6X200S;JOLLY;6;12727
JL74110;JL FCL KILOAN 560GR X 30;JOLLY;30;21675
JL84003;JOLLY FACIAL POP UP 100 X 90GR ;JOLLY;100;2600
JL84034;JOLLY FACIAL POP UP 10X10X90GR + DISP;JOLLY;10;23636
JLB14335;JL TLT CORE EMB 10 ROLL 50GR X 10;JOLLY;10;20800
